,HealthTopic,Population,Indicator,Unit,Time,RegionCode,RegionName,NumValue,Distribution,Category,Value
106,Dengue,All cases,Age standardised rate,%,2008,EUEEA30_21,EU/EEA (without UK),38.72296870564878,Distribution by gender,Female,45.25862
107,Dengue,All cases,Age standardised rate,%,2008,EUEEA30_21,EU/EEA (without UK),38.72296870564878,Distribution by travel associated,Yes,92.025862
108,Dengue,All cases,Age standardised rate,%,2008,EUEEA30_21,EU/EEA (without UK),38.72296870564878,Distribution by travel associated,No,0.0
110,Dengue,All cases,Age standardised rate,%,2008,EUEEAUK_21,EU/EEA (with UK until 2019),38.72296870564878,Distribution by age,0-4,0.188679
111,Dengue,All cases,Age standardised rate,%,2008,EUEEAUK_21,EU/EEA (with UK until 2019),38.72296870564878,Distribution by age,5-14,3.207547
112,Dengue,All cases,Age standardised rate,%,2008,EUEEAUK_21,EU/EEA (with UK until 2019),38.72296870564878,Distribution by age,15-24,15.283018
113,Dengue,All cases,Age standardised rate,%,2008,EUEEAUK_21,EU/EEA (with UK until 2019),38.72296870564878,Distribution by age,25-44,47.169811
114,Dengue,All cases,Age standardised rate,%,2008,EUEEAUK_21,EU/EEA (with UK until 2019),38.72296870564878,Distribution by age,45-64,29.245283
115,Dengue,All cases,Age standardised rate,%,2008,EUEEAUK_21,EU/EEA (with UK until 2019),38.72296870564878,Distribution by age,65+,4.90566
116,Dengue,All cases,Age standardised rate,%,2008,EUEEAUK_21,EU/EEA (with UK until 2019),38.72296870564878,Distribution by gender,Male,54.893617
117,Dengue,All cases,Age standardised rate,%,2008,EUEEAUK_21,EU/EEA (with UK until 2019),38.72296870564878,Distribution by gender,Female,45.106382
118,Dengue,All cases,Age standardised rate,%,2008,EUEEAUK_21,EU/EEA (with UK until 2019),38.72296870564878,Distribution by travel associated,Yes,91.276595
119,Dengue,All cases,Age standardised rate,%,2008,EUEEAUK_21,EU/EEA (with UK until 2019),38.72296870564878,Distribution by travel associated,No,0.851063
121,Dengue,All cases,Age standardised rate,%,2008,FI,Finland,38.72296870564878,Distribution by age,0-4,0.0
122,Dengue,All cases,Age standardised rate,%,2008,FI,Finland,38.72296870564878,Distribution by age,5-14,5.71428571
123,Dengue,All cases,Age standardised rate,%,2008,FI,Finland,38.72296870564878,Distribution by age,15-24,17.14285714
124,Dengue,All cases,Age standardised rate,%,2008,FI,Finland,38.72296870564878,Distribution by age,25-44,42.85714285
125,Dengue,All cases,Age standardised rate,%,2008,FI,Finland,38.72296870564878,Distribution by age,45-64,22.85714285
126,Dengue,All cases,Age standardised rate,%,2008,FI,Finland,38.72296870564878,Distribution by age,65+,11.42857142
127,Dengue,All cases,Age standardised rate,%,2008,FI,Finland,38.72296870564878,Distribution by gender,Male,57.14285714
128,Dengue,All cases,Age standardised rate,%,2008,FI,Finland,38.72296870564878,Distribution by gender,Female,42.85714285
129,Dengue,All cases,Age standardised rate,%,2008,FI,Finland,38.72296870564878,Distribution by travel associated,Yes,0.0
130,Dengue,All cases,Age standardised rate,%,2008,FI,Finland,38.72296870564878,Distribution by travel associated,No,0.0
132,Dengue,All cases,Age standardised rate,%,2008,FR,France,38.72296870564878,Distribution by age,0-4,0.0
133,Dengue,All cases,Age standardised rate,%,2008,FR,France,38.72296870564878,Distribution by age,5-14,5.35714285
134,Dengue,All cases,Age standardised rate,%,2008,FR,France,38.72296870564878,Distribution by age,15-24,7.14285714
135,Dengue,All cases,Age standardised rate,%,2008,FR,France,38.72296870564878,Distribution by age,25-44,37.5
136,Dengue,All cases,Age standardised rate,%,2008,FR,France,38.72296870564878,Distribution by age,45-64,44.64285714
137,Dengue,All cases,Age standardised rate,%,2008,FR,France,38.72296870564878,Distribution by age,65+,5.35714285
138,Dengue,All cases,Age standardised rate,%,2008,FR,France,38.72296870564878,Distribution by gender,Male,42.85714285
139,Dengue,All cases,Age standardised rate,%,2008,FR,France,38.72296870564878,Distribution by gender,Female,57.14285714
140,Dengue,All cases,Age standardised rate,%,2008,FR,France,38.72296870564878,Distribution by travel associated,Yes,100.0
141,Dengue,All cases,Age standardised rate,%,2008,FR,France,38.72296870564878,Distribution by travel associated,No,0.0
143,Dengue,All cases,Age standardised rate,%,2008,HU,Hungary,38.72296870564878,Distribution by age,0-4,0.0
144,Dengue,All cases,Age standardised rate,%,2008,HU,Hungary,38.72296870564878,Distribution by age,5-14,0.0
145,Dengue,All cases,Age standardised rate,%,2008,HU,Hungary,38.72296870564878,Distribution by age,15-24,16.66666666
146,Dengue,All cases,Age standardised rate,%,2008,HU,Hungary,38.72296870564878,Distribution by age,25-44,66.66666666
147,Dengue,All cases,Age standardised rate,%,2008,HU,Hungary,38.72296870564878,Distribution by age,45-64,0.0
148,Dengue,All cases,Age standardised rate,%,2008,HU,Hungary,38.72296870564878,Distribution by age,65+,16.66666666
149,Dengue,All cases,Age standardised rate,%,2008,HU,Hungary,38.72296870564878,Distribution by gender,Male,33.33333333
150,Dengue,All cases,Age standardised rate,%,2008,HU,Hungary,38.72296870564878,Distribution by gender,Female,66.66666666
151,Dengue,All cases,Age standardised rate,%,2008,HU,Hungary,38.72296870564878,Distribution by travel associated,Yes,100.0
152,Dengue,All cases,Age standardised rate,%,2008,HU,Hungary,38.72296870564878,Distribution by travel associated,No,0.0
154,Dengue,All cases,Age standardised rate,%,2008,IE,Ireland,38.72296870564878,Distribution by age,0-4,13.220677757717878
155,Dengue,All cases,Age standardised rate,%,2008,IE,Ireland,38.72296870564878,Distribution by age,5-14,13.220677757717878
156,Dengue,All cases,Age standardised rate,%,2008,IE,Ireland,38.72296870564878,Distribution by age,15-24,13.220677757717878
157,Dengue,All cases,Age standardised rate,%,2008,IE,Ireland,38.72296870564878,Distribution by age,25-44,13.220677757717878
158,Dengue,All cases,Age standardised rate,%,2008,IE,Ireland,38.72296870564878,Distribution by age,45-64,13.220677757717878
159,Dengue,All cases,Age standardised rate,%,2008,IE,Ireland,38.72296870564878,Distribution by age,65+,13.220677757717878
160,Dengue,All cases,Age standardised rate,%,2008,IE,Ireland,38.72296870564878,Distribution by gender,Male,13.220677757717878
161,Dengue,All cases,Age standardised rate,%,2008,IE,Ireland,38.72296870564878,Distribution by gender,Female,13.220677757717878
162,Dengue,All cases,Age standardised rate,%,2008,IE,Ireland,38.72296870564878,Distribution by travel associated,Yes,13.220677757717878
163,Dengue,All cases,Age standardised rate,%,2008,IE,Ireland,38.72296870564878,Distribution by travel associated,No,13.220677757717878
165,Dengue,All cases,Age standardised rate,%,2008,IT,Italy,38.72296870564878,Distribution by age,0-4,0.0
166,Dengue,All cases,Age standardised rate,%,2008,IT,Italy,38.72296870564878,Distribution by age,5-14,0.0
167,Dengue,All cases,Age standardised rate,%,2008,IT,Italy,38.72296870564878,Distribution by age,15-24,16.66666666
168,Dengue,All cases,Age standardised rate,%,2008,IT,Italy,38.72296870564878,Distribution by age,25-44,50.0
169,Dengue,All cases,Age standardised rate,%,2008,IT,Italy,38.72296870564878,Distribution by age,45-64,33.33333333
170,Dengue,All cases,Age standardised rate,%,2008,IT,Italy,38.72296870564878,Distribution by age,65+,0.0
171,Dengue,All cases,Age standardised rate,%,2008,IT,Italy,38.72296870564878,Distribution by gender,Male,33.33333333
172,Dengue,All cases,Age standardised rate,%,2008,IT,Italy,38.72296870564878,Distribution by gender,Female,66.66666666
173,Dengue,All cases,Age standardised rate,%,2008,IT,Italy,38.72296870564878,Distribution by travel associated,Yes,100.0
174,Dengue,All cases,Age standardised rate,%,2008,IT,Italy,38.72296870564878,Distribution by travel associated,No,0.0
176,Dengue,All cases,Age standardised rate,%,2008,LT,Lithuania,38.72296870564878,Distribution by age,0-4,13.220677757717878
177,Dengue,All cases,Age standardised rate,%,2008,LT,Lithuania,38.72296870564878,Distribution by age,5-14,13.220677757717878
178,Dengue,All cases,Age standardised rate,%,2008,LT,Lithuania,38.72296870564878,Distribution by age,15-24,13.220677757717878
179,Dengue,All cases,Age standardised rate,%,2008,LT,Lithuania,38.72296870564878,Distribution by age,25-44,13.220677757717878
180,Dengue,All cases,Age standardised rate,%,2008,LT,Lithuania,38.72296870564878,Distribution by age,45-64,13.220677757717878
181,Dengue,All cases,Age standardised rate,%,2008,LT,Lithuania,38.72296870564878,Distribution by age,65+,13.220677757717878
182,Dengue,All cases,Age standardised rate,%,2008,LT,Lithuania,38.72296870564878,Distribution by gender,Male,13.220677757717878
183,Dengue,All cases,Age standardised rate,%,2008,LT,Lithuania,38.72296870564878,Distribution by gender,Female,13.220677757717878
184,Dengue,All cases,Age standardised rate,%,2008,LT,Lithuania,38.72296870564878,Distribution by travel associated,Yes,13.220677757717878
185,Dengue,All cases,Age standardised rate,%,2008,LT,Lithuania,38.72296870564878,Distribution by travel associated,No,13.220677757717878
187,Dengue,All cases,Age standardised rate,%,2008,LU,Luxembourg,38.72296870564878,Distribution by age,0-4,13.220677757717878
188,Dengue,All cases,Age standardised rate,%,2008,LU,Luxembourg,38.72296870564878,Distribution by age,5-14,13.220677757717878
189,Dengue,All cases,Age standardised rate,%,2008,LU,Luxembourg,38.72296870564878,Distribution by age,15-24,13.220677757717878
190,Dengue,All cases,Age standardised rate,%,2008,LU,Luxembourg,38.72296870564878,Distribution by age,25-44,13.220677757717878
191,Dengue,All cases,Age standardised rate,%,2008,LU,Luxembourg,38.72296870564878,Distribution by age,45-64,13.220677757717878
192,Dengue,All cases,Age standardised rate,%,2008,LU,Luxembourg,38.72296870564878,Distribution by age,65+,13.220677757717878
193,Dengue,All cases,Age standardised rate,%,2008,LU,Luxembourg,38.72296870564878,Distribution by gender,Male,13.220677757717878
194,Dengue,All cases,Age standardised rate,%,2008,LU,Luxembourg,38.72296870564878,Distribution by gender,Female,13.220677757717878
195,Dengue,All cases,Age standardised rate,%,2008,LU,Luxembourg,38.72296870564878,Distribution by travel associated,Yes,13.220677757717878
196,Dengue,All cases,Age standardised rate,%,2008,LU,Luxembourg,38.72296870564878,Distribution by travel associated,No,13.220677757717878
198,Dengue,All cases,Age standardised rate,%,2008,LV,Latvia,38.72296870564878,Distribution by age,0-4,13.220677757717878
199,Dengue,All cases,Age standardised rate,%,2008,LV,Latvia,38.72296870564878,Distribution by age,5-14,13.220677757717878
200,Dengue,All cases,Age standardised rate,%,2008,LV,Latvia,38.72296870564878,Distribution by age,15-24,13.220677757717878
201,Dengue,All cases,Age standardised rate,%,2008,LV,Latvia,38.72296870564878,Distribution by age,25-44,13.220677757717878
202,Dengue,All cases,Age standardised rate,%,2008,LV,Latvia,38.72296870564878,Distribution by age,45-64,13.220677757717878
203,Dengue,All cases,Age standardised rate,%,2008,LV,Latvia,38.72296870564878,Distribution by age,65+,13.220677757717878
204,Dengue,All cases,Age standardised rate,%,2008,LV,Latvia,38.72296870564878,Distribution by gender,Male,13.220677757717878
205,Dengue,All cases,Age standardised rate,%,2008,LV,Latvia,38.72296870564878,Distribution by gender,Female,13.220677757717878
206,Dengue,All cases,Age standardised rate,%,2008,LV,Latvia,38.72296870564878,Distribution by travel associated,Yes,13.220677757717878
207,Dengue,All cases,Age standardised rate,%,2008,LV,Latvia,38.72296870564878,Distribution by travel associated,No,13.220677757717878
209,Dengue,All cases,Age standardised rate,%,2008,MT,Malta,38.72296870564878,Distribution by age,0-4,13.220677757717878
210,Dengue,All cases,Age standardised rate,%,2008,MT,Malta,38.72296870564878,Distribution by age,5-14,13.220677757717878
211,Dengue,All cases,Age standardised rate,%,2008,MT,Malta,38.72296870564878,Distribution by age,15-24,13.220677757717878
212,Dengue,All cases,Age standardised rate,%,2008,MT,Malta,38.72296870564878,Distribution by age,25-44,13.220677757717878
213,Dengue,All cases,Age standardised rate,%,2008,MT,Malta,38.72296870564878,Distribution by age,45-64,13.220677757717878
214,Dengue,All cases,Age standardised rate,%,2008,MT,Malta,38.72296870564878,Distribution by age,65+,13.220677757717878
215,Dengue,All cases,Age standardised rate,%,2008,MT,Malta,38.72296870564878,Distribution by gender,Male,13.220677757717878
216,Dengue,All cases,Age standardised rate,%,2008,MT,Malta,38.72296870564878,Distribution by gender,Female,13.220677757717878
217,Dengue,All cases,Age standardised rate,%,2008,MT,Malta,38.72296870564878,Distribution by travel associated,Yes,13.220677757717878
218,Dengue,All cases,Age standardised rate,%,2008,MT,Malta,38.72296870564878,Distribution by travel associated,No,13.220677757717878
220,Dengue,All cases,Age standardised rate,%,2008,PL,Poland,38.72296870564878,Distribution by age,0-4,0.0
221,Dengue,All cases,Age standardised rate,%,2008,PL,Poland,38.72296870564878,Distribution by age,5-14,0.0
222,Dengue,All cases,Age standardised rate,%,2008,PL,Poland,38.72296870564878,Distribution by age,15-24,0.0
223,Dengue,All cases,Age standardised rate,%,2008,PL,Poland,38.72296870564878,Distribution by age,25-44,100.0
224,Dengue,All cases,Age standardised rate,%,2008,PL,Poland,38.72296870564878,Distribution by age,45-64,0.0
225,Dengue,All cases,Age standardised rate,%,2008,PL,Poland,38.72296870564878,Distribution by age,65+,0.0
226,Dengue,All cases,Age standardised rate,%,2008,PL,Poland,38.72296870564878,Distribution by gender,Male,50.0
227,Dengue,All cases,Age standardised rate,%,2008,PL,Poland,38.72296870564878,Distribution by gender,Female,50.0
228,Dengue,All cases,Age standardised rate,%,2008,PL,Poland,38.72296870564878,Distribution by travel associated,Yes,100.0
229,Dengue,All cases,Age standardised rate,%,2008,PL,Poland,38.72296870564878,Distribution by travel associated,No,0.0
231,Dengue,All cases,Age standardised rate,%,2008,RO,Romania,38.72296870564878,Distribution by age,0-4,0.0
232,Dengue,All cases,Age standardised rate,%,2008,RO,Romania,38.72296870564878,Distribution by age,5-14,0.0
233,Dengue,All cases,Age standardised rate,%,2008,RO,Romania,38.72296870564878,Distribution by age,15-24,0.0
234,Dengue,All cases,Age standardised rate,%,2008,RO,Romania,38.72296870564878,Distribution by age,25-44,100.0
235,Dengue,All cases,Age standardised rate,%,2008,RO,Romania,38.72296870564878,Distribution by age,45-64,0.0
236,Dengue,All cases,Age standardised rate,%,2008,RO,Romania,38.72296870564878,Distribution by age,65+,0.0
237,Dengue,All cases,Age standardised rate,%,2008,RO,Romania,38.72296870564878,Distribution by gender,Male,0.0
238,Dengue,All cases,Age standardised rate,%,2008,RO,Romania,38.72296870564878,Distribution by gender,Female,100.0
239,Dengue,All cases,Age standardised rate,%,2008,RO,Romania,38.72296870564878,Distribution by travel associated,Yes,100.0
240,Dengue,All cases,Age standardised rate,%,2008,RO,Romania,38.72296870564878,Distribution by travel associated,No,0.0
242,Dengue,All cases,Age standardised rate,%,2008,SE,Sweden,38.72296870564878,Distribution by age,0-4,0.0
243,Dengue,All cases,Age standardised rate,%,2008,SE,Sweden,38.72296870564878,Distribution by age,5-14,4.10958904
244,Dengue,All cases,Age standardised rate,%,2008,SE,Sweden,38.72296870564878,Distribution by age,15-24,17.80821917
245,Dengue,All cases,Age standardised rate,%,2008,SE,Sweden,38.72296870564878,Distribution by age,25-44,36.98630136
246,Dengue,All cases,Age standardised rate,%,2008,SE,Sweden,38.72296870564878,Distribution by age,45-64,31.50684931
247,Dengue,All cases,Age standardised rate,%,2008,SE,Sweden,38.72296870564878,Distribution by age,65+,9.58904109
248,Dengue,All cases,Age standardised rate,%,2008,SE,Sweden,38.72296870564878,Distribution by gender,Male,50.6849315
249,Dengue,All cases,Age standardised rate,%,2008,SE,Sweden,38.72296870564878,Distribution by gender,Female,49.31506849
250,Dengue,All cases,Age standardised rate,%,2008,SE,Sweden,38.72296870564878,Distribution by travel associated,Yes,100.0
251,Dengue,All cases,Age standardised rate,%,2008,SE,Sweden,38.72296870564878,Distribution by travel associated,No,0.0
253,Dengue,All cases,Age standardised rate,%,2008,SI,Slovenia,38.72296870564878,Distribution by age,0-4,0.0
254,Dengue,All cases,Age standardised rate,%,2008,SI,Slovenia,38.72296870564878,Distribution by age,5-14,0.0
255,Dengue,All cases,Age standardised rate,%,2008,SI,Slovenia,38.72296870564878,Distribution by age,15-24,0.0
256,Dengue,All cases,Age standardised rate,%,2008,SI,Slovenia,38.72296870564878,Distribution by age,25-44,83.33333333
257,Dengue,All cases,Age standardised rate,%,2008,SI,Slovenia,38.72296870564878,Distribution by age,45-64,16.66666666
258,Dengue,All cases,Age standardised rate,%,2008,SI,Slovenia,38.72296870564878,Distribution by age,65+,0.0
259,Dengue,All cases,Age standardised rate,%,2008,SI,Slovenia,38.72296870564878,Distribution by gender,Male,16.66666666
260,Dengue,All cases,Age standardised rate,%,2008,SI,Slovenia,38.72296870564878,Distribution by gender,Female,83.33333333
261,Dengue,All cases,Age standardised rate,%,2008,SI,Slovenia,38.72296870564878,Distribution by travel associated,Yes,83.33333333
262,Dengue,All cases,Age standardised rate,%,2008,SI,Slovenia,38.72296870564878,Distribution by travel associated,No,0.0
264,Dengue,All cases,Age standardised rate,%,2008,SK,Slovakia,38.72296870564878,Distribution by age,0-4,13.220677757717878
265,Dengue,All cases,Age standardised rate,%,2008,SK,Slovakia,38.72296870564878,Distribution by age,5-14,13.220677757717878
266,Dengue,All cases,Age standardised rate,%,2008,SK,Slovakia,38.72296870564878,Distribution by age,15-24,13.220677757717878
267,Dengue,All cases,Age standardised rate,%,2008,SK,Slovakia,38.72296870564878,Distribution by age,25-44,13.220677757717878
268,Dengue,All cases,Age standardised rate,%,2008,SK,Slovakia,38.72296870564878,Distribution by age,45-64,13.220677757717878
269,Dengue,All cases,Age standardised rate,%,2008,SK,Slovakia,38.72296870564878,Distribution by age,65+,13.220677757717878
270,Dengue,All cases,Age standardised rate,%,2008,SK,Slovakia,38.72296870564878,Distribution by gender,Male,13.220677757717878
271,Dengue,All cases,Age standardised rate,%,2008,SK,Slovakia,38.72296870564878,Distribution by gender,Female,13.220677757717878
281,Dengue,All cases,Age standardised rate,%,2008,UK,United Kingdom,38.72296870564878,Distribution by gender,Male,66.66666666
282,Dengue,All cases,Age standardised rate,%,2008,UK,United Kingdom,38.72296870564878,Distribution by gender,Female,33.33333333
59,Dengue,All cases,Age standardised rate,%,2008,EL,Greece,38.72296870564878,Distribution by age,45-64,13.220677757717878
60,Dengue,All cases,Age standardised rate,%,2008,EL,Greece,38.72296870564878,Distribution by age,65+,13.220677757717878
61,Dengue,All cases,Age standardised rate,%,2008,EL,Greece,38.72296870564878,Distribution by gender,Male,13.220677757717878
62,Dengue,All cases,Age standardised rate,%,2008,EL,Greece,38.72296870564878,Distribution by gender,Female,13.220677757717878
63,Dengue,All cases,Age standardised rate,%,2008,EL,Greece,38.72296870564878,Distribution by travel associated,Yes,13.220677757717878
23,Dengue,All cases,Age standardised rate,%,2008,CZ,Czechia,38.72296870564878,Distribution by age,5-14,13.220677757717878
24,Dengue,All cases,Age standardised rate,%,2008,CZ,Czechia,38.72296870564878,Distribution by age,15-24,13.220677757717878
25,Dengue,All cases,Age standardised rate,%,2008,CZ,Czechia,38.72296870564878,Distribution by age,25-44,13.220677757717878
26,Dengue,All cases,Age standardised rate,%,2008,CZ,Czechia,38.72296870564878,Distribution by age,45-64,13.220677757717878
27,Dengue,All cases,Age standardised rate,%,2008,CZ,Czechia,38.72296870564878,Distribution by age,65+,13.220677757717878
28,Dengue,All cases,Age standardised rate,%,2008,CZ,Czechia,38.72296870564878,Distribution by gender,Male,13.220677757717878
283,Dengue,All cases,Age standardised rate,%,2008,UK,United Kingdom,38.72296870564878,Distribution by travel associated,Yes,33.33333333
284,Dengue,All cases,Age standardised rate,%,2008,UK,United Kingdom,38.72296870564878,Distribution by travel associated,No,66.66666666
5253,Dengue,All cases,Reported cases,N,2008,HU,Hungary,6.0,Age-specific rate,Female,13.220677757717878
5254,Dengue,All cases,Reported cases,N,2008,IE,Ireland,0.0,Age-specific rate,Female,13.220677757717878
29,Dengue,All cases,Age standardised rate,%,2008,CZ,Czechia,38.72296870564878,Distribution by gender,Female,13.220677757717878
30,Dengue,All cases,Age standardised rate,%,2008,CZ,Czechia,38.72296870564878,Distribution by travel associated,Yes,13.220677757717878
31,Dengue,All cases,Age standardised rate,%,2008,CZ,Czechia,38.72296870564878,Distribution by travel associated,No,13.220677757717878
33,Dengue,All cases,Age standardised rate,%,2008,DE,Germany,38.72296870564878,Distribution by age,0-4,0.36630036
272,Dengue,All cases,Age standardised rate,%,2008,SK,Slovakia,38.72296870564878,Distribution by travel associated,Yes,13.220677757717878
273,Dengue,All cases,Age standardised rate,%,2008,SK,Slovakia,38.72296870564878,Distribution by travel associated,No,13.220677757717878
275,Dengue,All cases,Age standardised rate,%,2008,UK,United Kingdom,38.72296870564878,Distribution by age,0-4,0.0
276,Dengue,All cases,Age standardised rate,%,2008,UK,United Kingdom,38.72296870564878,Distribution by age,5-14,0.0
277,Dengue,All cases,Age standardised rate,%,2008,UK,United Kingdom,38.72296870564878,Distribution by age,15-24,0.0
278,Dengue,All cases,Age standardised rate,%,2008,UK,United Kingdom,38.72296870564878,Distribution by age,25-44,66.66666666
279,Dengue,All cases,Age standardised rate,%,2008,UK,United Kingdom,38.72296870564878,Distribution by age,45-64,33.33333333
280,Dengue,All cases,Age standardised rate,%,2008,UK,United Kingdom,38.72296870564878,Distribution by age,65+,0.0
